"_created_at"	_id	_updated_at	device	tag_count	text	trip_count
2017-10-31T07:54:23.691Z	lPjRCWqF1d	2017-10-31T07:54:23.691Z	756256df825745c	13	Moderado	14
2017-10-31T07:55:01.709Z	VAcZf1T7rQ	2017-10-31T07:55:01.709Z	756256df825745c	14	Suficiente	15
2017-10-31T07:55:01.911Z	LMaDwYcv7s	2017-10-31T07:55:01.911Z	756256df825745c	15	Normal	15
2017-10-31T07:55:02.159Z	4tgDfAAxxG	2017-10-31T07:55:02.159Z	756256df825745c	16	Moderado	15
2017-10-31T08:55:04.748Z	WGRHdgEe5y	2017-10-31T08:55:04.748Z	9a83167b352fa914	10	Eficiente	9
2017-10-31T08:55:04.889Z	wQn9rkdf4u	2017-10-31T08:55:04.889Z	9a83167b352fa914	11	Adecuado	9
2017-10-31T08:55:05.033Z	nxXhBLWPhf	2017-10-31T08:55:05.033Z	9a83167b352fa914	12	Relajado	9
2017-10-31T10:23:41.085Z	iH9zyOTo4u	2017-10-31T10:23:41.085Z	756256df825745c	17	Suficiente	16
2017-10-31T10:23:41.315Z	I0giVKcGg1	2017-10-31T10:23:41.315Z	756256df825745c	18	Suave	16
2017-10-31T10:23:41.567Z	v0CZ3T5iHH	2017-10-31T10:23:41.567Z	756256df825745c	19	Lento	16
2017-10-31T11:58:32.834Z	t5bmeAorJG	2017-10-31T11:58:32.834Z	756256df825745c	20	Escabroso	17
2017-10-31T11:58:33.035Z	wzdrn51wYT	2017-10-31T11:58:33.035Z	756256df825745c	21	Adecuado	17
2017-10-31T11:58:33.264Z	ywl9PLq0LY	2017-10-31T11:58:33.264Z	756256df825745c	22	Veloz	17
2017-10-31T12:50:38.700Z	HtIJtgRpLB	2017-10-31T12:50:38.700Z	c7aeb36dcbf38252	1	Normal	4
2017-10-31T12:50:38.899Z	4cpNwaDkLO	2017-10-31T12:50:38.899Z	c7aeb36dcbf38252	2	Relajado	4
2017-10-31T13:50:49.635Z	dx7gPfCjHx	2017-10-31T13:50:49.635Z	11adcf0f63a00175	29	Seguro	25
2017-10-31T13:50:50.979Z	5VOKLHtqsF	2017-10-31T13:50:50.979Z	11adcf0f63a00175	30	Veloz	25
2017-10-31T13:51:12.731Z	wTdinZAntR	2017-10-31T13:51:12.731Z	11adcf0f63a00175	31	Seguro	26
2017-10-31T13:51:12.902Z	8i1DSQsl20	2017-10-31T13:51:12.902Z	11adcf0f63a00175	32	Veloz	26
2017-10-31T18:09:07.900Z	7oqnLEA7k3	2017-10-31T18:09:07.900Z	9a83167b352fa914	13	Suficiente	10
2017-10-31T18:09:08.158Z	81llon8hKU	2017-10-31T18:09:08.158Z	9a83167b352fa914	14	Normal	10
2017-10-31T18:09:08.348Z	d21h4LZyjn	2017-10-31T18:09:08.348Z	9a83167b352fa914	15	Veloz	10
2017-10-31T21:12:38.164Z	l1VbWZxXSD	2017-10-31T21:12:38.164Z	756256df825745c	23	Ágil	18
2017-10-31T21:12:38.352Z	5rF9DDPG4K	2017-10-31T21:12:38.352Z	756256df825745c	24	Rápido	18
2017-10-31T21:12:38.566Z	wlNnlacu5E	2017-10-31T21:12:38.566Z	756256df825745c	25	Veloz	18
2017-11-01T10:57:52.316Z	pv0191d8hl	2017-11-01T10:57:52.316Z	75df4d7f5d07f886	1	Confiable	2
2017-11-01T12:15:56.482Z	L9hTM2yXFz	2017-11-01T12:15:56.482Z	c1c0f391b310b51d	11	Suficiente	17
2017-11-01T12:15:56.742Z	v6H96WLmKH	2017-11-01T12:15:56.742Z	c1c0f391b310b51d	12	Suave	17
2017-11-01T12:15:56.922Z	md7rGCbNyu	2017-11-01T12:15:56.922Z	c1c0f391b310b51d	13	Inspirador	17
2017-11-02T07:43:11.016Z	QsYHApjFqE	2017-11-02T07:43:11.016Z	948c5a19e0e77b8f	1	Slow-moving	13
2017-11-02T10:25:48.804Z	G8fIPpJFgp	2017-11-02T10:25:48.804Z	756256df825745c	26	Ágil	20
2017-11-02T10:25:48.935Z	mHiw0mzqIj	2017-11-02T10:25:48.935Z	756256df825745c	27	Rápido	20
2017-11-02T10:25:49.074Z	6FQmQ3M4Bf	2017-11-02T10:25:49.074Z	756256df825745c	28	Veloz	20
2017-11-02T12:00:11.641Z	01qvttGc3U	2017-11-02T12:00:11.641Z	756256df825745c	29	Escabroso	21
2017-11-02T12:00:11.861Z	ABXA0lLpXC	2017-11-02T12:00:11.861Z	756256df825745c	30	Rápido	21
2017-11-02T12:00:12.112Z	zYNKsGRedF	2017-11-02T12:00:12.112Z	756256df825745c	31	Veloz	21
2017-11-02T14:17:25.881Z	MDF67eYpiv	2017-11-02T14:17:25.881Z	11adcf0f63a00175	33	Seguro	28
2017-11-02T14:17:26.171Z	dSmCMTCNII	2017-11-02T14:17:26.171Z	11adcf0f63a00175	34	Veloz	28
2017-11-02T14:18:16.379Z	Erj6hn7mx5	2017-11-02T14:18:16.379Z	11adcf0f63a00175	35	Seguro	29
2017-11-02T14:18:16.528Z	pHM7FMUxbF	2017-11-02T14:18:16.528Z	11adcf0f63a00175	36	Veloz	29
2017-11-02T17:45:54.145Z	1hloYtP3b5	2017-11-02T17:45:54.145Z	f3d5cdaad6acb5dc	10	Ágil	7
2017-11-02T17:45:54.296Z	RXrogZycZJ	2017-11-02T17:45:54.296Z	f3d5cdaad6acb5dc	11	Normal	7
2017-11-02T17:45:54.436Z	SntlnpInVd	2017-11-02T17:45:54.436Z	f3d5cdaad6acb5dc	12	Inspirador	7
2017-11-02T18:50:04.600Z	nBXJGIDeoe	2017-11-02T18:50:04.600Z	948c5a19e0e77b8f	1	Fast	14
2017-11-02T21:05:37.657Z	rvKfT4IOGr	2017-11-02T21:05:37.657Z	756256df825745c	32	Ágil	22
2017-11-02T21:05:38.017Z	ymwzLXAEvI	2017-11-02T21:05:38.017Z	756256df825745c	33	Normal	22
2017-11-02T21:05:38.286Z	5ezVClrbEZ	2017-11-02T21:05:38.286Z	756256df825745c	34	Veloz	22
2017-11-03T08:47:01.886Z	vg4RlYaQFP	2017-11-03T08:47:01.886Z	9a83167b352fa914	16	Veloz	13
2017-11-04T11:46:27.834Z	RBQTCu7sPZ	2017-11-04T11:46:27.834Z	b265733ea53b6e07	1	Veloz	4
2017-11-04T11:56:49.766Z	OaiCdyon8P	2017-11-04T11:56:49.766Z	c1c0f391b310b51d	14	Prolongado	19
2017-11-04T11:56:49.902Z	mCY8H0qFbz	2017-11-04T11:56:49.902Z	c1c0f391b310b51d	15	Normal	19
2017-11-04T11:56:50.079Z	pSirZL5vAY	2017-11-04T11:56:50.079Z	c1c0f391b310b51d	16	Inspirador	19
2017-11-04T21:00:28.031Z	LfJY7ixyEq	2017-11-04T21:00:28.031Z	756256df825745c	35	Promedio	24
2017-11-04T21:00:28.252Z	CJY5mGkXCq	2017-11-04T21:00:28.252Z	756256df825745c	36	Rápido	24
2017-11-04T21:00:28.481Z	ny72lUehC4	2017-11-04T21:00:28.481Z	756256df825745c	37	Veloz	24
2017-11-05T12:00:01.347Z	nKUttF5MRo	2017-11-05T12:00:01.347Z	756256df825745c	38	Suficiente	26
2017-11-05T12:00:01.547Z	IgkIyomDnV	2017-11-05T12:00:01.547Z	756256df825745c	39	Normal	26
2017-11-05T12:33:44.621Z	ACSEYKF0WN	2017-11-05T12:33:44.621Z	75df4d7f5d07f886	1	Relajado	5
2017-11-05T16:47:23.165Z	szVmb1gmbI	2017-11-05T16:47:23.165Z	75df4d7f5d07f886	1	Moderado	7
2017-11-05T20:48:16.083Z	LmsjWo0hj2	2017-11-05T20:48:16.083Z	756256df825745c	40	Veloz	26
2017-11-05T21:09:25.687Z	BliNj6JaAI	2017-11-05T21:09:25.687Z	756256df825745c	41	Promedio	27
2017-11-05T21:09:25.878Z	FMEVBmOGAO	2017-11-05T21:09:25.878Z	756256df825745c	42	Rápido	27
2017-11-06T12:25:07.927Z	931Uhnpm2W	2017-11-06T12:25:07.927Z	f0304bf6db9bacfb	1	Rápido	9
2017-11-06T12:25:08.077Z	ILeCwAYx8y	2017-11-06T12:25:08.077Z	f0304bf6db9bacfb	2	Veloz	9
2017-11-06T22:23:52.067Z	JupCpbVsjL	2017-11-06T22:23:52.067Z	756256df825745c	42	Rápido	27
2017-11-06T22:23:52.849Z	zAwX7ImpUg	2017-11-06T22:23:52.849Z	756256df825745c	43	Veloz	27
2017-11-07T07:25:29.104Z	CMGRi1Setj	2017-11-07T07:25:29.104Z	f0304bf6db9bacfb	3	Seguro	10
2017-11-07T07:25:29.305Z	8zDw3PrI22	2017-11-07T07:25:29.305Z	f0304bf6db9bacfb	4	Moderado	10
2017-11-08T06:45:35.143Z	LfXU0zsR21	2017-11-08T06:45:35.143Z	11adcf0f63a00175	37	Seguro	31
2017-11-08T06:45:35.333Z	qb0MpBMFQl	2017-11-08T06:45:35.333Z	11adcf0f63a00175	38	Veloz	31
2017-11-08T07:31:04.028Z	44HnJteUD3	2017-11-08T07:31:04.028Z	75df4d7f5d07f886	1	Moderado	8
2017-11-08T11:36:15.006Z	BZwBWD0X7Y	2017-11-08T11:36:15.006Z	75df4d7f5d07f886	1	Veloz	9
2017-11-08T12:24:25.826Z	YYXyWlrb6F	2017-11-08T12:24:25.826Z	75df4d7f5d07f886	1	Confiable	10
