"";"participant";"device";"text";"X_created_at";"X_id";"X_updated_at";"tag_count";"trip_count";"category";"sentiment_polarity";"text_en";"questionnaire1";"application_install";"questionnaire_2";"estimuli";"city";"group";"campaign_day"
"30";2;"14571aeb92ef00fd";"Risky";"2017-09-09T13:34:12.297Z";"5HVsGLOf6k";"2017-09-09T13:34:12.297Z";6;7;"Safety";"Negative";"Risky";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";4
"31";2;"14571aeb92ef00fd";"Light";"2017-09-16T08:06:37.235Z";"EcXjnXOdux";"2017-09-16T08:06:37.235Z";16;13;"Comfor";"Positive";"Light";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";11
"32";2;"14571aeb92ef00fd";"Moderated";"2017-09-09T18:59:21.970Z";"2LzWKo2DrX";"2017-09-09T18:59:21.970Z";10;8;"Speed ";"Neutral ";"Moderated";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";4
"33";2;"14571aeb92ef00fd";"Worthy";"2017-09-10T13:01:42.924Z";"Gm3aZMWB3A";"2017-09-10T13:01:42.924Z";12;9;"Comfor";"Neutral ";"Worthy";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";5
"34";2;"14571aeb92ef00fd";"Slow-moving";"2017-09-18T19:42:26.980Z";"k7DdFzaaYf";"2017-09-18T19:42:26.980Z";22;15;"Speed ";"Negative";"Slow-moving";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";13
"35";2;"14571aeb92ef00fd";"Fast";"2017-09-08T17:08:05.104Z";"ghvqE2MI2x";"2017-09-08T17:08:05.104Z";2;5;"Speed ";"Positive";"Fast";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";3
"36";2;"14571aeb92ef00fd";"Normal";"2017-09-19T19:04:38.975Z";"O6dIvMIOpc";"2017-09-19T19:04:38.975Z";22;17;"Speed ";"Neutral ";"Normal";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";14
"37";4;"b9508c016f700eea";"mountain bike";"2017-09-18T07:03:57.125Z";"XPYJuJqwt5";"2017-09-18T07:03:57.125Z";1;3;NA;NA;NA;"2017-09-08T14:17:00.000Z";"2017-09-08T17:14:20.000Z";"2017-09-21T17:15:25.000Z";"Y";"Münster";"Competition";11
"38";4;"b9508c016f700eea";"Veloz";"2017-09-18T07:03:57.257Z";"EagFBRMJJ1";"2017-09-18T07:03:57.257Z";2;3;"Speed ";"Positive";"Fast";"2017-09-08T14:17:00.000Z";"2017-09-08T17:14:20.000Z";"2017-09-21T17:15:25.000Z";"Y";"Münster";"Competition";11
"39";5;"e2ff1ed10162056f";"Mäßig";"2017-09-11T15:30:13.634Z";"DiliZNCzEk";"2017-09-11T15:30:13.634Z";3;2;NA;NA;NA;"2017-09-08T16:00:00.000Z";"2017-09-08T16:10:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"Münster";"Collaboration";4
"40";5;"e2ff1ed10162056f";"Effizient";"2017-09-11T15:30:12.673Z";"DPa72i5GEm";"2017-09-11T15:30:12.673Z";1;2;NA;NA;NA;"2017-09-08T16:00:00.000Z";"2017-09-08T16:10:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"Münster";"Collaboration";4
"41";5;"e2ff1ed10162056f";"Angemessen";"2017-09-11T15:30:13.462Z";"GKO4OXvUox";"2017-09-11T15:30:13.462Z";2;2;NA;NA;NA;"2017-09-08T16:00:00.000Z";"2017-09-08T16:10:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"Münster";"Collaboration";4
"42";6;"677751866a44e3e4";"Moderated";"2017-09-21T12:17:17.444Z";"wQgo3EQizM";"2017-09-21T12:17:17.444Z";3;5;"Speed ";"Neutral ";"Moderated";"2017-09-09T19:00:00.000Z";"2017-09-09T19:05:00.000Z";"2017-09-22T19:00:00.000Z";"Y";"Münster";"Competition";13
"43";6;"677751866a44e3e4";"Enough";"2017-09-21T12:17:17.111Z";"5SmC555DvM";"2017-09-21T12:17:17.111Z";1;5;"Comfor";"Neutral ";"Enough";"2017-09-09T19:00:00.000Z";"2017-09-09T19:05:00.000Z";"2017-09-22T19:00:00.000Z";"Y";"Münster";"Competition";13
"44";6;"677751866a44e3e4";"Normal";"2017-09-21T12:17:17.290Z";"SXriXdrMIB";"2017-09-21T12:17:17.290Z";2;5;"Speed ";"Neutral ";"Normal";"2017-09-09T19:00:00.000Z";"2017-09-09T19:05:00.000Z";"2017-09-22T19:00:00.000Z";"Y";"Münster";"Competition";13
"45";7;"fe0df20f83b53497";"Gewagt";"2017-09-26T10:33:14.004Z";"0aF0c46v1p";"2017-09-26T10:33:14.004Z";1;4;NA;NA;NA;"2017-09-14T11:15:00.000Z";"2017-09-14T11:20:00.000Z";"2017-09-26T12:00:00.000Z";"Y";"Münster";"Competition";13
"46";7;"fe0df20f83b53497";"Schnell";"2017-09-25T13:52:20.602Z";"GedyCSyopE";"2017-09-25T13:52:20.602Z";1;3;NA;NA;NA;"2017-09-14T11:15:00.000Z";"2017-09-14T11:20:00.000Z";"2017-09-26T12:00:00.000Z";"Y";"Münster";"Competition";12
"47";8;"8449b1811700bd63";"Fast";"2017-09-17T09:43:07.160Z";"11L0lyEHpI";"2017-09-17T09:43:07.160Z";5;6;"Speed ";"Positive";"Fast";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";4
"48";8;"8449b1811700bd63";"Relaxed";"2017-09-17T16:43:46.206Z";"HzAjnMM03A";"2017-09-17T16:43:46.206Z";6;7;"Comfor";"Neutral ";"Relaxed";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";4
"49";8;"8449b1811700bd63";"Relaxed";"2017-09-16T12:36:59.482Z";"WYGWvakNXQ";"2017-09-16T12:36:59.482Z";4;3;"Comfor";"Neutral ";"Relaxed";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";3
"50";8;"8449b1811700bd63";"Quick";"2017-09-20T15:00:24.800Z";"7q60OuE7Hj";"2017-09-20T15:00:24.800Z";10;12;"Speed ";"Positive";"Quick";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";7
"51";8;"8449b1811700bd63";"Fast";"2017-09-18T08:47:46.907Z";"TCAVxGpJHR";"2017-09-18T08:47:46.907Z";8;8;"Speed ";"Positive";"Fast";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";5
"52";8;"8449b1811700bd63";"rainy";"2017-09-18T08:47:46.736Z";"QIAQOPkUFr";"2017-09-18T08:47:46.736Z";7;8;NA;NA;NA;"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";5
"53";8;"8449b1811700bd63";"interrupted ";"2017-09-16T12:36:59.353Z";"vdy96BWYzb";"2017-09-16T12:36:59.353Z";3;3;NA;NA;NA;"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";3
"54";8;"8449b1811700bd63";"Dull";"2017-09-21T08:57:30.433Z";"FlTb1liA2F";"2017-09-21T08:57:30.433Z";12;13;"Comfor";"Negative";"Dull";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";8
"55";8;"8449b1811700bd63";"Dull";"2017-09-19T10:44:15.099Z";"PMo2WDg7xX";"2017-09-19T10:44:15.099Z";9;10;"Comfor";"Negative";"Dull";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";6
"56";8;"8449b1811700bd63";"rainy";"2017-09-14T14:02:55.193Z";"OiyLxsQzF5";"2017-09-14T14:02:55.193Z";1;2;NA;NA;NA;"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";1
"57";8;"8449b1811700bd63";"Safe";"2017-09-20T15:00:25.006Z";"PK2l50HDId";"2017-09-20T15:00:25.006Z";11;12;"Safety";"Positive";"Safe";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";7
"58";8;"8449b1811700bd63";"Moderated";"2017-09-14T14:02:59.842Z";"sQrOcguVBn";"2017-09-14T14:02:59.842Z";2;2;"Speed ";"Neutral ";"Moderated";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"Münster";"Collaboration";1
"59";10;"e38875a892ad09ae";"Langsam";"2017-09-21T06:08:28.661Z";"SiqLG6jPQP";"2017-09-21T06:08:28.661Z";1;1;NA;NA;NA;"2017-09-14T14:19:00.000Z";"2017-09-14T14:22:00.000Z";"";"N";"Münster";"none";8
"60";10;"e38875a892ad09ae";"Schnell";"2017-09-22T16:36:55.286Z";"dUq98XFwhE";"2017-09-22T16:36:55.286Z";1;2;NA;NA;NA;"2017-09-14T14:19:00.000Z";"2017-09-14T14:22:00.000Z";"";"N";"Münster";"none";9
"61";12;"158fada61da39e8d";"Schnell";"2017-10-02T12:01:10.657Z";"y09MQ5gFeC";"2017-10-02T12:01:10.657Z";6;3;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";19
"62";12;"158fada61da39e8d";"Durchschnittlich";"2017-09-17T13:44:10.920Z";"Pdt9z31IdJ";"2017-09-17T13:44:10.920Z";1;1;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"63";12;"158fada61da39e8d";"Flott";"2017-09-17T17:16:43.417Z";"HNCJGn1ptP";"2017-09-17T17:16:43.417Z";5;2;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"64";12;"158fada61da39e8d";"Effizient";"2017-10-02T12:01:10.344Z";"xUcBcOntMs";"2017-10-02T12:01:10.344Z";4;3;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";19
"65";12;"158fada61da39e8d";"Durchschnittlich";"2017-09-17T17:16:43.235Z";"m3fCzPzYkN";"2017-09-17T17:16:43.235Z";4;2;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"66";12;"158fada61da39e8d";"Riskant";"2017-10-02T12:01:10.504Z";"mP8r09Hkhb";"2017-10-02T12:01:10.504Z";5;3;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";19
"67";12;"158fada61da39e8d";"Sicher";"2017-09-17T17:16:43.597Z";"D4Bw1V66yt";"2017-09-17T17:16:43.597Z";6;2;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"68";12;"158fada61da39e8d";"Mäßig";"2017-09-17T13:44:11.410Z";"6RrHx7Suju";"2017-09-17T13:44:11.410Z";3;1;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"69";12;"158fada61da39e8d";"Flott";"2017-09-17T13:44:11.162Z";"Oq48MphvZv";"2017-09-17T13:44:11.162Z";2;1;NA;NA;NA;"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"Münster";"Collaboration";4
"70";15;"e9236012d1f3b712";"Moderated";"2017-09-22T13:58:35.406Z";"mu4hodvHSh";"2017-09-22T13:58:35.406Z";1;1;"Speed ";"Neutral ";"Moderated";"2017-09-15T13:35:00.000Z";"2017-09-15T13:53:00.000Z";"2017-09-22T15:00:00.000Z";"Y";"Münster";"Collaboration";8
"71";15;"e9236012d1f3b712";"Dangerous";"2017-09-22T13:58:55.576Z";"sTVbM7GhR3";"2017-09-22T13:58:55.576Z";1;1;"Safety";"Negative";"Dangerous";"2017-09-15T13:35:00.000Z";"2017-09-15T13:53:00.000Z";"2017-09-22T15:00:00.000Z";"Y";"Münster";"Collaboration";8
"72";15;"e9236012d1f3b712";"Fast";"2017-09-22T14:06:23.875Z";"TIjes4Y1Hj";"2017-09-22T14:06:23.875Z";1;2;"Speed ";"Positive";"Fast";"2017-09-15T13:35:00.000Z";"2017-09-15T13:53:00.000Z";"2017-09-22T15:00:00.000Z";"Y";"Münster";"Collaboration";8
"73";16;"580e8671042d7e43";"Mäßig";"2017-09-16T09:04:14.198Z";"SOnqTxhRXK";"2017-09-16T09:04:14.198Z";2;4;NA;NA;NA;"2017-09-15T14:00:00.000Z";"2017-09-15T14:10:00.000Z";"2017-09-21T12:20:00.000Z";"Y";"Münster";"Competition";2
"74";16;"580e8671042d7e43";"Mäßig";"2017-09-16T09:52:06.439Z";"utEs05u999";"2017-09-16T09:52:06.439Z";4;5;NA;NA;NA;"2017-09-15T14:00:00.000Z";"2017-09-15T14:10:00.000Z";"2017-09-21T12:20:00.000Z";"Y";"Münster";"Competition";2
"75";16;"580e8671042d7e43";"Überfüllt";"2017-09-16T09:04:13.989Z";"mS0XQtGUbr";"2017-09-16T09:04:13.989Z";1;4;NA;NA;NA;"2017-09-15T14:00:00.000Z";"2017-09-15T14:10:00.000Z";"2017-09-21T12:20:00.000Z";"Y";"Münster";"Competition";2
"76";16;"580e8671042d7e43";"Angemessen";"2017-09-16T09:52:06.151Z";"E6laaWo8SA";"2017-09-16T09:52:06.151Z";3;5;NA;NA;NA;"2017-09-15T14:00:00.000Z";"2017-09-15T14:10:00.000Z";"2017-09-21T12:20:00.000Z";"Y";"Münster";"Competition";2
"77";17;"f9a799097f8dd185";"Moderated";"2017-09-19T08:20:50.787Z";"ubLoBt0HHy";"2017-09-19T08:20:50.787Z";9;6;"Speed ";"Neutral ";"Moderated";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";5
"78";17;"f9a799097f8dd185";"Efficient";"2017-09-19T16:47:53.946Z";"GLV0r0BvCO";"2017-09-19T16:47:53.946Z";13;9;"Comfor";"Positive";"Efficient";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";5
"79";17;"f9a799097f8dd185";"Normal";"2017-09-15T16:27:14.510Z";"0bkRSnhb4c";"2017-09-15T16:27:14.510Z";2;3;"Speed ";"Neutral ";"Normal";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";1
"80";17;"f9a799097f8dd185";"Average";"2017-09-15T16:27:14.326Z";"yj0wRyJMYY";"2017-09-15T16:27:14.326Z";1;3;"Speed ";"Neutral ";"Average";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";1
"81";17;"f9a799097f8dd185";"Quick";"2017-09-19T08:20:50.609Z";"BntUWy7y53";"2017-09-19T08:20:50.609Z";8;6;"Speed ";"Positive";"Quick";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";5
"82";17;"f9a799097f8dd185";"Moderated";"2017-09-17T13:21:41.726Z";"AETIXFC5lU";"2017-09-17T13:21:41.726Z";6;5;"Speed ";"Neutral ";"Moderated";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";3
"83";17;"f9a799097f8dd185";"Normal";"2017-10-03T17:41:47.527Z";"KgrmByElZy";"2017-10-03T17:41:47.527Z";17;10;"Speed ";"Neutral ";"Normal";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";19
"84";17;"f9a799097f8dd185";"Speedy";"2017-09-17T13:21:41.389Z";"STqGe4ViJD";"2017-09-17T13:21:41.389Z";4;5;"Speed ";"Positive";"Speedy";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";3
"85";17;"f9a799097f8dd185";"Moderated";"2017-09-15T16:27:14.691Z";"ZXV8ghoEy7";"2017-09-15T16:27:14.691Z";3;3;"Speed ";"Neutral ";"Moderated";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"Münster";"Collaboration";1
